Id,FirstName,LastName,School
01,Tom,Max,Nursing
02,Ann,Fay,Mining
03,Joe,Sun,Nursing
04,Sue,Fox,Computing
05,Ben,Ray,Mining
06,Zoe,Cox,Business
07,Sam,Ray,Mining
08,Dan,Ash,Medicine
09,Pat,Lee,Computing
10,Kim,Day,Nursing
11,Tim,Rex,Computing
12,Rob,Ram,Business
13,Jan,Fry,Mining
14,Jim,Tex,Nursing
15,Ben,Kid,Business
16,Mia,Chu,Medicine
17,Ted,Tao,Computing
18,Amy,Day,Business
19,Ian,Roy,Nursing
20,Liz,Kit,Nursing
21,Mat,Tan,Medicine
22,Deb,Roy,Medicine
23,Ana,Ray,Mining
24,Lyn,Poe,Computing
25,Amy,Raj,Nursing
26,Kim,Ash,Mining
27,Bec,Kid,Nursing
28,Eva,Fry,Computing
29,Eli,Lap,Business
30,Sam,Yim,Nursing
31,Joe,Hui,Mining
32,Liz,Jin,Nursing
33,Ric,Kuo,Business
34,Pam,Mak,Computing
35,Stu,Day,Business
36,Tom,Gad,Mining
37,Bob,Bee,Business
38,Jim,Ots,Business
39,Tom,Mag,Business
40,Hal,Doe,Mining
41,Roy,Kim,Mining
42,Vis,Cox,Nursing
43,Kay,Aga,Nursing
44,Reo,Hui,Nursing
45,Bob,Roe,Mining
